AGENCY,DATE,DESTINATION,PAX,TYPE,COST,STATUS
MILAN,01/01/2023,PPC - EN,8,PRIVATE,5000,
MILAN,01/01/2023,PPC - EN,6,SHARED,3000,
MILAN,02/01/2023,PPC - EN,3,SHARED,1500,
MILAN,02/01/2023,PPC - EN,2,SHARED,1000,
MILAN,02/01/2023,EN - PPC,11,PRIVATE,5000,
MILAN,02/01/2023,EN - PPC,7,SHARED,3500,
MILAN,02/01/2023,EN - PPC,7,SHARED,3500,
MILAN,02/01/2023,PPC - EN,5,SHARED,2500,
MILAN,02/01/2023,PPC - EN,9,SHARED,4500,
MILAN,02/01/2023,EN - PPC,12,PRIVATE,5000,
MILAN,03/01/2023,EN - PPC,7,SHARED,3500,
MILAN,03/01/2023,PPC - EN,3,SHARED,1500,
MILAN,03/01/2023,PPC - EN,2,SHARED,1000,
MILAN,03/01/2023,PPC - EN,4,SHARED,2000,
MILAN,03/01/2023,EN - PPC,2,SHARED,1000,
MILAN,03/01/2023,EN - PPC,2,SHARED,1000,
MILAN,03/01/2023,EN - PPC,2,SHARED,1000,
MILAN,03/01/2023,PPC - EN,7,SHARED,2500,
MILAN,03/01/2023,PPC - EN,4,SHARED,2000,
MILAN,03/01/2023,PPC - EN,3,SHARED,1000,
MILAN,03/01/2023,EN - PPC,11,PRIVATE,5000,
MILAN,05/01/2023,EN - PPC,3,SHARED,1500,
MILAN,05/01/2023,EN - PPC,2,SHARED,1000,
MILAN,05/01/2023,EN - PPC,5,PRIVATE,5000,
MILAN,06/01/2023,PPC - EN,4,PRIVATE,5000,
MILAN,06/01/2023,PPC - EN,2,SHARED,1000,
MILAN,07/01/2023,PPC - EN,2,SHARED,1000,
MILAN,07/01/2023,PPC - EN,6,SHARED,3000,
MILAN,07/01/2023,EN - PPC,2,SHARED,1000,
MILAN,07/01/2023,EN - PPC,2,SHARED,1000,
MILAN,07/01/2023,PPC - EN,8,SHARED,4000,
MILAN,07/01/2023,EN - PPC,7,PRIVATE,5000,
BAYVIEW,07/01/2023,DROP OFF AIRPORT,4,PRIVATE,1000,
MILAN,07/01/2023,PPC - EN,4,SHARED,2000,
MILAN,08/01/2023,PPC - EN,4,SHARED,2000,
MILAN,08/01/2023,EN - PPC,2,SHARED,1000,
MILAN,08/01/2023,EN - PPC,2,SHARED,1000,
MILAN,08/01/2023,PPC - EN,2,SHARED,1000,
MILAN,09/01/2023,PPC - EN,5,SHARED,2500,
MILAN,09/01/2023,PPC - EN,5,SHARED,2500,
MILAN,09/01/2023,PPC - EN,2,SHARED,1000,
MILAN,09/01/2023,PPC - EN,4,SHARED,2000,
MILAN,09/01/2023,PPC - EN,4,SHARED,2000,
MILAN,09/01/2023,EN - PPC,2,SHARED,1000,
MILAN,10/01/2023,EN - PPC,2,SHARED,1000,
MILAN,10/01/2023,EN - PPC,4,SHARED,2000,
MILAN,01/02/2023,EN - PPC,5,PRIVATE,5000,
MILAN,01/02/2023,PPC - EN,8,SHARED,4000,
MILAN,02/02/2023,PPC - EN,4,SHARED,2000,
MILAN,02/02/2023,PPC - EN,5,SHARED,2500,
MILAN,02/02/2023,EN - PPC,2,SHARED,1000,
MILAN,02/02/2023,EN - PPC,4,SHARED,2000,
MILAN,02/02/2023,EN - PPC,10,SHARED,4500,
MILAN,02/02/2023,EN - PPC,3,SHARED,1500,
MILAN,02/02/2023,PPC - EN,2,SHARED,1000,
MILAN,03/02/2023,PPC - EN,5,SHARED,2500,
MILAN,03/02/2023,EN - PPC,5,SHARED,2500,
MILAN,03/02/2023,EN - PPC,4,SHARED,2000,
BAYVIEW,03/02/2023,PPC - EN,6,PRIVATE,5000,
BAYVIEW,03/02/2023,EN - PPC,2,SHARED,1000,
BAYVIEW,03/02/2023,DROP OFF AIRPORT,5,PRIVATE,1000,
MILAN,03/02/2023,PPC - EN,10,PRIVATE,5000,
MILAN,03/02/2023,EN - PPC,6,SHARED,3000,
MILAN,03/02/2023,EN - PPC,2,SHARED,1000,
MILAN,07/02/2023,EN - PPC,3,SHARED,1000,
MILAN,07/02/2023,PPC - EN,3,SHARED,1000,
MILAN,07/02/2023,EN - PPC,4,SHARED,2000,
MILAN,07/02/2023,EN - PPC,9,SHARED,4500,
MILAN,07/02/2023,EN - PPC,5,SHARED,2500,
MILAN,07/02/2023,EN - PPC,6,SHARED,3000,
MILAN,08/02/2023,EN - PPC,2,SHARED,1000,
MILAN,08/02/2023,PPC - EN,2,SHARED,1000,
MILAN,08/02/2023,PPC - EN,2,SHARED,1000,
MILAN,08/02/2023,PPC - EN,3,SHARED,1500,
MILAN,08/02/2023,PPC - EN,2,SHARED,1000,
MILAN,09/02/2023,PPC - EN,2,SHARED,1000,
MILAN,10/02/2023,PPC - EN,6,SHARED,3000,
MILAN,10/02/2023,PPC - EN,4,SHARED,2000,
MILAN,11/02/2023,EN - PPC,7,SHARED,3500,
BAYVIEW,01/03/2023,PICK UP AIRPORT,2,PRIVATE,1000,
MILAN,01/03/2023,EN - PPC,3,SHARED,1500,
MILAN,02/03/2023,PPC - EN,11,PRIVATE,5000,
MILAN,02/03/2023,PPC - EN,2,SHARED,1000,
MILAN,02/03/2023,PPC - EN,2,SHARED,1000,
MILAN,02/03/2023,PPC - EN,2,SHARED,1000,
MILAN,02/03/2023,EN - PPC,4,SHARED,2000,
MILAN,02/03/2023,EN - PPC,3,SHARED,1500,
MILAN,02/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,EN - PPC,4,SHARED,2000,
MILAN,03/03/2023,PPC - EN,6,SHARED,3000,
BAYVIEW,03/03/2023,INLAND TOUR,7,PRIVATE,4000,
MILAN,03/03/2023,PPC - EN,6,PRIVATE,5000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,PPC - EN,4,SHARED,2000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,PPC - EN,4,SHARED,2000,
MILAN,03/03/2023,DROP OFF AIRPORT,3,PRIVATE,1000,
MILAN,03/03/2023,EN - PPC,4,SHARED,2000,
MILAN,03/03/2023,EN - PPC,4,SHARED,2000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,EN - PPC,5,SHARED,2500,
MILAN,03/03/2023,EN - PPC,7,PRIVATE,5000,
MILAN,03/03/2023,EN - PPC,2,SHARED,1000,
MILAN,03/03/2023,EN - PPC,3,SHARED,1500,
MILAN,03/03/2023,EN - PPC,8,SHARED,4000,
