DATE,DESTINATION,PAX,AMOUNT,TOTAL,AGENCY
01/01/2023,PPC-EN,2,PRIVATE,5000,CORAZON TRAVEL AND TOURS
01/01/2023,EN-PPC,7,500,3500,BAYVIEW
01/01/2023,TINIGUIBAN,6,PRIVATE,3700,DOUBLEGEM
01/01/2023,TINIGUIBAN,6,PRIVATE,3500,DOUBLEGEM
01/01/2023,TINIGUIBAN,6,PRIVATE,3700,DOUBLEGEM
01/01/2023,DROP ITI,5,PRIVATE,1000,DOUBLEGEM
01/01/2023,DROP ITI,2,1200,300,VELLAGO
01/01/2023,DROP ITI,10,PRIVATE,1000,MILAN
01/01/2023,BIZ IT,2,450,900,ROLANDO aka INSTEK
01/01/2023,MILAN,4,450,1800,GFS TRAVELISTA
01/01/2023,PICK ITI,2,1200,300,VELLAGO
01/01/2023,EN-PPC,4,500,2000,MILAN
01/01/2023,PPC-EN,6,500,3000,MILAN
01/01/2023,EN-PPC,5,500,2500,MILAN
01/01/2023,EN-PPC,2,5000,5650,ARMAN
01/01/2023,2 TRANSFERS,2,500,1000,ONE EL NIDO SUITE
01/01/2023,PPC-EN,7,PRIVATE,5500,CORAZON TRAVEL AND TOURS
01/01/2023,FRENDZ,1,450,450,FHERL
01/01/2023,EN-PPC,1,500,500,FRENDZ
01/01/2023,PPC-EN,4,450,1800,GFS TO MAYMAY
01/01/2023,EN-PPC,2,500,1000,DOUBLEGEM
01/01/2023,PPC-EN,4,500,2000,MILAN
01/01/2023,EN-JOINER,9,4200,,BOGS
01/01/2023,PPC-PRIVATE,2,5000,5160,BOGS
01/01/2023,EN-JOINER,7,3500,,ARMAN
01/01/2023,DROP ITI,2,PRIVATE,1000,BAYVIEW
01/01/2023,EN-PPC,2,500,1000,BAYVIEW
01/01/2023,EN-PPC,1,500,500,FRENDZ
01/01/2023,DROP ITI,2,1200,300,VELLAGO
01/01/2023,PPC-EN,5,500,2500,MILAN
01/01/2023,PPC-EN,2,500,1000,MILAN
01/01/2023,PPC-EN,2,500,1000,CORAZON TRAVEL AND TOURS
01/01/2023,PPC-EN,1,500,500,FRENDZ
01/01/2023,PPC-EN,1,450,450,GFS TO MAYMAY
01/01/2023,PPC-EN,2,500,1000,MILAN
01/01/2023,EN-JOINER,12+2,6500,,BOGS
01/01/2023,PPC-EN,2,500,1000,MILAN
01/01/2023,TRANSFER,2,PRIVATE,500,MILAN
01/01/2023,EN-PPC,6,PRIVATE,1000,CORAZON TRAVEL AND TOURS
