date,destination,pax,agency
2023-04-14,Paris,1,Alice
2018-08-24,New York,4,Grace
2018-10-01,New York,9,Frank
2020-02-11,Paris,6,Ivan
2021-02-25,New York,8,Judy
2018-03-21,London,4,Alice
2020-04-14,New York,3,Eve
2021-11-30,Paris,2,Judy
2019-01-18,London,2,Charlie
2023-10-23,Paris,9,David
2019-11-11,Sydney,3,Bob
2024-04-23,Paris,4,Alice
2021-04-26,London,3,Heidi
2023-07-24,Sydney,10,Frank
2022-02-26,New York,7,Eve
2021-09-01,Paris,1,Ivan
2019-06-30,New York,6,Alice
2023-11-15,New York,2,Charlie
2022-12-31,New York,10,Charlie
2019-02-27,Tokyo,8,Grace
2021-11-13,Tokyo,6,Charlie
2020-08-12,Paris,1,Bob
2018-09-22,London,5,Alice
2020-09-21,New York,4,Heidi
2019-02-09,Tokyo,1,Bob
2019-06-19,Sydney,2,Ivan
2024-08-29,London,5,Eve
2023-02-23,London,7,Bob
2023-01-21,Paris,5,Eve
2020-10-22,Sydney,1,Ivan
2024-01-20,London,1,Charlie
2021-02-12,London,6,Grace
2021-07-25,Sydney,9,Ivan
2020-04-08,Sydney,1,David
2018-03-17,Paris,8,Ivan
2020-12-26,London,5,David
2020-06-12,Sydney,6,Bob
2024-05-08,Tokyo,3,Ivan
2024-02-12,Sydney,8,Bob
2024-02-10,Paris,4,David
2024-01-16,Tokyo,1,Alice
2018-12-20,Tokyo,6,Ivan
2022-01-19,Paris,7,Bob
2019-09-12,Tokyo,4,Judy
2020-08-23,Paris,2,Bob
2023-07-07,New York,10,Heidi
2022-02-28,London,1,Frank
2022-07-31,Tokyo,3,Frank
2023-12-25,Sydney,4,Eve
2022-09-24,London,10,Judy
2023-03-20,New York,2,Judy
2024-02-08,Paris,2,Ivan
2023-12-17,Tokyo,5,Eve
2021-05-17,Sydney,2,Heidi
2019-07-25,Tokyo,7,Charlie
2024-09-12,London,1,Judy
2019-01-17,New York,10,Eve
2021-02-21,New York,4,Frank
2020-05-02,London,1,Grace
2020-02-09,Paris,3,Judy
2020-02-24,Paris,2,Bob
2022-11-28,Sydney,4,Charlie
2024-09-22,New York,6,Bob
2022-04-21,Sydney,5,Bob
2020-04-20,Paris,5,David
2024-08-23,Sydney,7,Judy
2023-04-12,London,5,Heidi
2021-09-05,London,5,Ivan
2021-03-20,New York,2,Heidi
2019-10-03,New York,10,Eve
2021-05-06,London,6,Charlie
2023-08-27,London,7,Frank
2024-07-18,London,4,Ivan
2020-02-11,London,10,Judy
2022-06-12,Tokyo,6,Judy
2019-07-27,Paris,3,Heidi
2019-08-15,Paris,4,Ivan
2019-03-20,London,2,Heidi
2018-08-20,Tokyo,9,Bob
2022-12-24,Sydney,7,Heidi
2018-04-08,London,3,Alice
2023-04-09,Sydney,8,Judy
2022-07-13,London,3,Eve
2018-05-11,Sydney,10,Ivan
2020-09-05,Tokyo,9,Grace
2022-10-12,London,9,Charlie
2023-08-26,London,9,Ivan
2020-01-25,New York,8,Alice
2020-06-13,New York,1,Eve
2021-04-30,Tokyo,10,Heidi
2019-05-18,Tokyo,8,David
2019-04-28,Sydney,3,Eve
2024-02-27,New York,5,Eve
2018-05-28,London,6,Ivan
2020-03-08,Tokyo,8,Ivan
2018-03-23,Tokyo,7,Grace
2018-09-08,Sydney,3,Grace
2022-10-01,Sydney,6,Alice
2020-06-19,Sydney,6,Judy
2023-06-11,London,6,Eve
2018-06-14,New York,3,Bob
2023-02-16,Tokyo,3,Eve
2023-08-10,New York,5,Alice
2018-09-12,New York,10,Alice
2018-12-09,Paris,7,Ivan
2022-08-10,New York,4,Charlie
2023-02-14,New York,5,Bob
2022-08-09,London,4,Heidi
2019-08-01,Tokyo,7,Eve
2021-05-27,Paris,8,Grace
2021-04-11,New York,7,Charlie
2024-01-17,London,9,Judy
2020-07-31,London,7,Alice
2019-10-20,Tokyo,8,Heidi
2021-08-26,Paris,3,Ivan
2023-09-18,Tokyo,5,Frank
2021-03-20,London,7,Alice
2018-08-31,Tokyo,1,Heidi
2022-10-20,Sydney,10,Heidi
2021-09-16,London,10,Judy
2019-06-21,New York,6,Eve
2022-11-04,Sydney,7,Ivan
2018-02-22,Sydney,9,Ivan
2022-03-31,New York,6,Alice
2023-05-15,Paris,6,Ivan
2024-03-26,Paris,4,Eve
2018-03-30,New York,6,David
2023-04-04,Tokyo,4,Alice
2024-06-30,Paris,6,Bob
2018-10-11,Sydney,5,Judy
2019-09-05,Paris,7,Heidi
2024-01-07,London,10,Eve
2023-06-29,London,4,Bob
2022-07-18,Sydney,2,Heidi
2020-01-30,New York,5,Charlie
2018-09-26,Tokyo,3,Judy
2021-01-04,Sydney,10,Ivan
2024-05-14,Tokyo,5,David
2021-07-02,London,2,Bob
2018-11-16,London,3,Eve
2019-08-04,Tokyo,9,Bob
2021-10-26,New York,6,Alice
2023-12-31,New York,8,Heidi
2018-07-01,Tokyo,5,Alice
2018-08-19,London,4,Bob
2024-06-27,London,8,Bob
2021-02-07,London,3,Bob
2018-03-14,Paris,1,Eve
2018-02-27,Tokyo,8,Ivan
2018-04-10,London,5,Bob
2019-10-12,New York,3,Alice
2019-03-22,New York,7,Ivan
2018-05-07,New York,1,Ivan
2019-01-09,New York,4,Grace
2018-10-26,Tokyo,3,Heidi
2019-01-16,New York,7,Eve
2023-03-10,Tokyo,3,Eve
2020-01-11,New York,3,Bob
2019-07-03,Paris,3,Frank
2018-06-23,Tokyo,1,Bob
2022-03-04,Tokyo,1,Heidi
2023-11-25,New York,2,Alice
2020-06-14,Tokyo,8,Frank
2021-03-24,New York,8,David
2022-06-01,Sydney,7,Bob
2018-03-26,New York,2,Charlie
2019-07-23,Paris,1,Grace
2018-07-28,Paris,10,Ivan
2022-12-10,Tokyo,2,Bob
2021-11-08,Sydney,10,Alice
2019-03-17,Sydney,6,Alice
2020-04-28,Tokyo,10,Grace
2022-12-24,Tokyo,9,Bob
2022-05-28,New York,9,Ivan
2022-08-30,London,8,David
2021-02-27,New York,4,Bob
2020-11-07,Paris,5,Alice
2024-01-25,New York,7,Charlie
2020-06-13,New York,10,Frank
2024-08-25,London,3,Frank
2018-06-26,Paris,4,Grace
2024-08-02,Paris,4,Alice
2021-08-28,Tokyo,3,Alice
2018-03-01,Tokyo,8,Grace
2020-02-28,Paris,1,Charlie
2022-08-01,Sydney,4,Alice
2024-07-18,New York,4,Charlie
2022-11-18,Sydney,10,Heidi
2022-03-30,Tokyo,1,Ivan
2022-08-02,Sydney,9,Grace
2020-09-18,Paris,3,Charlie
2018-01-30,London,9,Grace
2022-11-27,Paris,3,Charlie
2023-02-27,Tokyo,1,Eve
2023-05-13,Sydney,5,Grace
2019-10-18,Paris,5,Charlie
2020-08-26,New York,2,David
2019-01-12,Tokyo,8,Frank
2019-01-18,Sydney,9,Judy
2024-03-15,Paris,2,Eve
2019-04-15,London,9,Charlie
2020-02-23,Paris,1,Bob
2019-08-30,New York,10,Frank
2019-11-11,Sydney,9,Alice
2020-05-22,New York,5,Eve
2020-07-25,London,4,Heidi
2023-10-28,London,2,Ivan
2022-04-13,New York,7,David
2020-11-10,Sydney,2,Heidi
2020-10-09,New York,7,David
2018-09-10,Sydney,3,Ivan
2022-04-26,Sydney,9,Heidi
2020-01-02,London,6,Eve
2019-01-24,Tokyo,7,Alice
2022-01-17,Paris,1,Grace
2022-06-22,Sydney,4,David
2023-11-07,Paris,2,Grace
2022-10-18,New York,1,Bob
2021-01-30,Tokyo,6,Grace
2018-11-16,Sydney,2,Charlie
2018-08-10,New York,1,Judy
2021-03-13,London,10,Charlie
2018-10-21,Paris,6,Frank
2022-06-21,Sydney,7,Ivan
2019-09-20,New York,6,Ivan
2018-06-07,London,3,Alice
2019-08-29,Tokyo,1,Alice
2019-09-11,Paris,8,Eve
2020-10-21,Tokyo,8,Eve
2020-05-18,London,2,Heidi
2020-01-20,Paris,5,Eve
2022-03-05,Paris,5,David
2020-12-08,Paris,3,Frank
2019-08-08,New York,3,Charlie
2021-08-29,New York,6,Grace
2020-01-24,London,6,Charlie
2019-02-28,Sydney,8,Alice
2019-05-29,London,3,Grace
2018-08-07,New York,1,Judy
2024-01-04,London,5,Judy
2020-06-23,Paris,1,Charlie
2021-10-13,London,5,Judy
2022-11-11,New York,5,Frank
2023-08-24,Tokyo,9,Grace
2023-03-14,Paris,2,Grace
2019-09-14,Tokyo,1,Heidi
2024-09-05,New York,7,David
2023-08-18,Tokyo,8,Heidi
2022-09-15,Tokyo,10,Heidi
2019-10-23,London,6,Ivan
2019-09-20,New York,4,Bob
2020-12-17,New York,4,Eve
2021-09-07,Sydney,3,Grace
2021-05-22,London,5,Grace
2019-03-09,Tokyo,3,Eve
2024-09-29,London,6,Charlie
2018-10-17,Tokyo,5,Alice
2020-07-07,Sydney,7,Frank
2021-01-30,Sydney,3,Eve
2023-07-20,London,7,Ivan
2022-11-05,Sydney,7,Alice
2022-02-01,Tokyo,5,Bob
2023-01-28,Paris,6,Heidi
2024-06-18,Tokyo,7,David
2020-10-15,London,2,Ivan
2022-01-04,Paris,1,Eve
2020-05-14,Sydney,2,Frank
2021-03-26,Sydney,10,Heidi
2019-11-11,New York,2,Bob
2020-01-02,Sydney,3,Alice
2022-08-24,Sydney,10,Alice
2023-03-24,New York,9,Eve
2018-06-19,Paris,10,Grace
2022-12-28,Tokyo,2,Ivan
2021-11-12,Sydney,10,Charlie
2019-10-08,Paris,7,Judy
2018-12-18,Tokyo,8,Grace
2024-05-18,Sydney,4,Eve
2019-05-31,Sydney,3,Ivan
2020-05-05,New York,4,Frank
2021-10-16,London,10,David
2021-04-26,New York,5,Charlie
2019-02-23,London,5,Alice
2020-08-27,New York,4,Frank
2019-12-24,Paris,5,David
2024-09-28,Sydney,10,Heidi
2022-05-13,Tokyo,7,Eve
2024-02-23,Sydney,5,Eve
2020-02-28,New York,8,Alice
2022-12-16,New York,1,Charlie
2023-04-16,Sydney,3,Ivan
2023-10-14,Tokyo,3,Bob
2023-02-05,Paris,3,Heidi
2018-06-24,Paris,1,Charlie
2020-05-06,Sydney,6,Eve
2023-07-31,New York,7,David
2024-03-05,Sydney,10,David
2018-09-29,Tokyo,3,Frank
2019-06-01,Paris,4,Charlie
2021-03-07,Paris,3,Ivan
2020-09-14,Tokyo,1,Grace
2022-08-11,Sydney,10,Eve
2024-04-03,Tokyo,1,Charlie
2021-02-03,Sydney,3,Grace
2019-01-31,New York,4,Ivan
2021-06-28,Sydney,7,Heidi
2018-04-02,London,1,Charlie
2019-03-29,London,2,Alice
2018-06-04,Sydney,5,Grace
2021-09-12,London,2,Eve
2022-11-08,Tokyo,8,Heidi
2023-07-08,London,4,Eve
2022-11-13,Tokyo,6,Eve
2020-08-21,Paris,1,Judy
2021-02-16,New York,9,Heidi
2020-11-30,Tokyo,7,Charlie
2023-01-17,Paris,2,Frank
2019-11-08,New York,6,Frank
2021-08-26,Tokyo,2,Charlie
2022-12-08,Paris,6,Charlie
2021-03-13,New York,2,Alice
2019-07-25,Tokyo,2,David
2018-02-22,Paris,6,Alice
2024-03-10,Paris,5,Frank
2023-09-22,Tokyo,5,Bob
2023-09-03,Sydney,4,David
2023-05-24,New York,2,Grace
2021-09-09,Tokyo,10,Heidi
2020-11-17,Tokyo,1,Eve
2024-03-03,Tokyo,4,Bob
2020-05-13,Sydney,6,Judy
2024-06-03,Tokyo,3,Alice
2020-10-04,New York,6,Alice
2021-11-11,Paris,10,Heidi
2019-10-15,Paris,6,Bob
2024-06-14,Sydney,2,Alice
2020-04-20,Paris,2,Alice
2020-10-04,Paris,4,Heidi
2024-08-18,Tokyo,8,Charlie
2020-06-16,New York,3,Ivan
2019-09-05,Paris,2,Charlie
2022-12-02,Tokyo,10,Ivan
2021-11-01,Paris,8,Bob
2019-06-01,New York,7,Alice
2023-09-28,London,9,Eve
2023-04-10,Sydney,4,Eve
2018-05-26,Sydney,7,Frank
2022-08-17,New York,10,Ivan
2020-11-03,New York,1,Frank
2020-02-19,Paris,9,Charlie
2020-03-18,Sydney,2,Judy
2023-12-23,London,7,David
2018-08-26,New York,8,David
2024-02-06,Paris,8,David
2023-03-09,New York,8,David
2022-02-27,Tokyo,9,Frank
2024-08-20,New York,4,David
2023-11-20,Tokyo,4,Frank
2021-11-24,London,5,Charlie
2018-10-01,New York,10,Heidi
2020-11-20,Sydney,8,Frank
2023-09-13,Paris,10,Grace
2023-07-27,London,6,Charlie
2022-03-27,Tokyo,6,Heidi
2019-12-09,Paris,10,Eve
2022-04-30,Sydney,10,Judy
2023-03-10,New York,8,Alice
2023-03-05,Sydney,8,Judy
2022-03-25,New York,5,Judy
2018-06-30,Sydney,7,David
2018-04-14,New York,5,Ivan
2024-05-08,Tokyo,8,Bob
2020-11-07,New York,7,Heidi
2022-02-12,Tokyo,4,Grace
2024-08-22,New York,2,David
2024-09-19,Sydney,7,Ivan
2024-03-09,London,3,David
2018-02-01,Tokyo,10,Heidi
2020-07-17,Sydney,1,Frank
2024-01-02,New York,2,David
2020-05-03,Tokyo,3,Bob
2024-08-25,London,10,Judy
2022-11-09,London,7,Ivan
2023-04-11,New York,7,Heidi
2020-07-25,Tokyo,8,Heidi
2018-01-19,London,9,Eve
2022-11-14,New York,9,Judy
2018-11-24,Tokyo,2,Bob
2020-01-16,Paris,1,Heidi
2022-01-27,Paris,5,Judy
2024-05-26,Tokyo,7,Heidi
2021-08-12,London,10,Grace
2018-07-06,Tokyo,7,Frank
